1,1,[    ]
2,3,QUESTION #
##12,3,001/005
15,3,/
23,3,SCORE
##29,3,000
##2,5,123456789A123456789B123456789C
##2,6,123456789A123456789B123456789C
##2,7,123456789A123456789B123456789C
2,9,A.
2,13,B.
2,17,C.
2,21,D.
##4,09,123456789A1234567
##4,10,123456789A1234567
##4,11,123456789A1234567
##4,13,123456789A1234567
##4,14,123456789A1234567
##4,15,123456789A1234567
##4,17,123456789A1234567
##4,18,123456789A1234567
##4,19,123456789A1234567
##4,21,123456789A1234567
##4,22,123456789A1234567
##4,23,123456789A1234567
